,para,pred_label,para_index
0,Chapter 19,O,714
1,"The next day opened a new scene at Longbourn. Mr Collins made his       declaration in form. Having resolved to do it without loss of time, as his       leave of absence extended only to the following Saturday, and having no       feelings of diffidence to make it distressing to himslf even at the       moment, he set about it in a very orderly manner, with all the       observances, which he supposed a regular part of the business. On finding       Mrs Bennet, Elizabeth, and one of the younger girls together, soon after       breakfast, he addressed the mother in these words:",O,715
2,"""May I hope, madam, for your interest with your fair daughter Elizabeth,       when I solicit for the honour of a private audience with her in the course       of this morning?""",B-START,716
3,"Before Elizabeth had time for anything but a blush of surprise, Mrs       Bennet answered instantly, ",O,717
4,"""Oh dear!—yes—certainly. I am sure       Lizzy will be very happy—I am sure she can have no objection. Come,       Kitty, I want you up stairs.""",B-OTHER,717
5," And, gathering her work together, she was       hastening away, when Elizabeth called out:",O,717
6,"""Dear madam, do not go. I beg you will not go. Mr Collins must excuse me.       He can have nothing to say to me that anybody need not hear. I am going       away myself.""",B-OTHER,718
7,"""No, no, nonsense, Lizzy. I desire you to stay where you are.""",B-OTHER,719
8,"""Lizzy, I insist upon your staying and hearing       Mr Collins.""",I-OTHER,719
9,"Elizabeth would not oppose such an injunction—and a moment's       consideration making her also sensible that it would be wisest to get it       over as soon and as quietly as possible, she sat down again and tried to       conceal, by incessant employment the feelings which were divided between       distress and diversion. Mrs Bennet and Kitty walked off, and as soon as       they were gone, Mr Collins began.",O,720
10,"""Believe me, my dear MissElizabeth, that your modesty, so far from doing       you any disservice, rather adds to your other perfections. You would have       been less amiable in my eyes had there not been this little       unwillingness; but allow me to assure you, that I have your respected       mother's permisson for this address. You can hardly doubt the purport of       my discourse, however your natural delicacy may lead you to dissemble; my       attentions have been too marked to be mistaken. Almost as soon as I       entered the house, I singled you out as the companion of my future life.       But before I am run away with by my feelings on this subject, perhaps it       would be advisable for me to state my reasons for marrying—and,       moreover, for coming into Hertfordshire with the design of selecting a       wife, as I certainly did.""",B-OTHER,721
11,"The idea of Mr Collins, with all his solemn composure, being run away       with by his feelings, made Elizabeth so near laughing, that she could not       use the short pause he allowed in any attempt to stop him further, and he       continued:",O,722
12,"""My reasons for marrying are, first, that I think it a right thing for       every clergyman in easy circumsances (like myself) to set the example of       matrimony in his parish; secondly, that I am convinced that it will add       very greatly to my happiness; and thirdly—which perhaps I ought to       have mentioned earlier, that it is the particular advice and       recommendation of the very noble lady whom I have the honour of calling       patroness. Twice has she condescended to give me her opinion (unasked       too!) on this subject; and it was but the very Saturday night before I       left Hunsford—between our pools at quadrille, while Mrs Jenkinson       was arranging Missde Bourgh's footstool, that she said, 'Mr Collins, you       must marry. A clergyman like you must marry. Choose properly, choose a       gentlewoman for my sake; and for your own, let her be an       active, useful sort of person, not brought up high, but able to make a       small income go a good way. This is my advice. Find such a woman as soon       as you can, bring her to Hunsford, and I will visit her.' Allow me, by the       way, to observe, my fair cousin, that I do not reckon the notice and       kindness of Lady Catherine de Bourgh as among the least of the advantages       in my power to offer. You will find her manners beyond anything I can       describe; and your wit and vivacity, I think, must be acceptable to her,       especially when tempered with the silence and respect which her rank will       inevitably excite. Thus much for my general intention in favour of       matrimony; it remains to be told why my views were directed towards       Longbourn instead of my own neighbourhood, where I can assure you there       are many amiable young women. But the fact is, that being, as I am, to       inherit this estate after the death of your honoured father (who, however,       may live many years longer), I could not satisfy myself without resolving       to choose a wife from among his daughters, that the loss to them might be       as little as possible, when the melancholy event takes place—which,       however, as I have already said, may not be for several years. This has       been my motive, my fair cousin, and I flatter myself it will not sink me       in your esteem. And now nothing remains for me but to assure you in the       most animated language of the violence of my affection. To fortune I am       perfectly indifferent, and shall make no demand of that nature on your       father, since I am well aware that it could not be complied with; and that       one thousand pounds in the four per cents, which will not be yours till       after your mother's decease, is all that you may ever be entitled to. On       that head, therefore, I shall be uniformly silent; and you may assure       yourself that no ungenerous reproach shall ever pass my lips when we are       married.""",B-OTHER,723
13,It was absolutely necessary to interrupt him now.,O,724
14,"""You are too hasty, sir,""",B-OTHER,725
15,"""You forget that I have made no       answer. Let me do it without further loss of time. Accept my thanks for       the compliment you are paying me. I am very sensible of the honour of your       proposals, but it is impossible for me to do otherwise than to decline       them.""",I-OTHER,725
16,"""I am not now to learn,""",B-OTHER,726
17,"""that it is usual with young ladies to reject the addresses of the       man whom they secretly mean to accept, when he first applies for their       favour; and that sometimes the refusal is repeated a second, or even a       third time. I am therefore by no means discouraged by what you have just       said, and shall hope to lead you to the altar ere long.""",I-OTHER,726
18,"""Upon my word, sir,""",B-OTHER,727
19,"""your hope is a rather extraordinary       one after my declaration. I do assure you that I am not one of those young       ladies (if such young ladies there are) who are so daring as to risk their       happiness on the chance of being asked a second time. I am perfectly       serious in my refusal. You could not make me happy, and I am       convinced that I am the last woman in the world who could make you so.       Nay, were your friend Lady Catherine to know me, I am persuaded she would       find me in every respect ill qualified for the situation.""",I-OTHER,727
20,"""Were it certain that Lady Catherine would think so,""",B-OTHER,728
21,"""but I cannot imagine that her ladyship would at all       disapprove of you. And you may be certain when I have the honour of seeing       her again, I shall speak in the very highest termsof your modesty,       economy, and other amiable qualification.""",I-OTHER,728
22,"""Indeed, Mr Collins, all praise of me will be unnecessary. You must give       me leave to judge for myself, and pay me the compliment of believing what       I say. I wish you very happy and very rich, and by refusing your hand, do       all in my power to prevent your being otherwise. In making me the offer,       you must have satisfied the delicacy of your feelings with regard to my       family, and may take possession of Longbourn estate whenever it falls,       without any self-reproach. This matter may be considered, therefore, as       finally settled.""",B-OTHER,729
23," And rising as she thus spoke, she would have quitted the       room, had Mr Collins not thus addressed her:",O,729
